Year,State,Question,DataValueType,DataValue,Gender
2011,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,Female
2011,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Male
2012,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.9,Female
2012,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Male
2013,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Female
2013,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2014,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,Female
2014,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2015,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,Female
2015,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2016,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,Female
2016,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Male
2017,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Female
2017,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Male
2018,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,Female
2018,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Male
2019,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.1,Female
2019,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Male
2020,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.9,Female
2020,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2021,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.5,Female
2021,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Male
2011,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Female
2011,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2012,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2012,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.3,Male
2013,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2013,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.4,Male
2014,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2014,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2015,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2015,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2016,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2016,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2017,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2017,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2018,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2018,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2019,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2019,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2020,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2020,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.4,Male
2021,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2021,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Male
2011,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2011,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2012,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2012,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2013,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2013,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2014,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2014,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2015,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2015,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2016,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2016,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2017,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2017,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2018,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2018,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2019,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2019,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Male
2020,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2020,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2021,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,Female
2021,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Male
2011,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.7,Female
2011,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Male
2012,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2012,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Male
2013,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2013,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2014,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,Female
2014,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2015,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2015,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Male
2016,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,Female
2016,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Male
2017,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,Female
2017,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Male
2018,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.2,Female
2018,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2019,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.5,Female
2019,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Male
2020,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.3,Female
2020,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Male
2021,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.5,Female
2021,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Male
2011,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2011,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2012,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2012,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2013,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2013,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2014,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2014,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2015,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2015,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2016,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2016,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2017,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2017,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2018,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2018,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2019,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2019,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2020,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2020,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2021,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2021,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2011,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2011,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2012,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2012,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2013,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2013,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,Male
2014,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Female
2014,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,Male
2015,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2015,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2016,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2016,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2017,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2017,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2018,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2018,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2019,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2019,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2020,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2020,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2021,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,Female
2021,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Male
