Year,State,Question,DataValueType,DataValue,Race/Ethnicity
2011,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"Black, non-Hispanic"
2011,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,Hispanic
2011,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.7,"Other, non-Hispanic"
2011,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"White, non-Hispanic"
2013,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Black, non-Hispanic"
2013,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.7,"Other, non-Hispanic"
2013,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"White, non-Hispanic"
2014,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"Black, non-Hispanic"
2014,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,Hispanic
2014,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"Multiracial, non-Hispanic"
2014,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Other, non-Hispanic"
2014,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"White, non-Hispanic"
2015,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"Black, non-Hispanic"
2015,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Multiracial, non-Hispanic"
2015,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"Other, non-Hispanic"
2015,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"White, non-Hispanic"
2016,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Black, non-Hispanic"
2016,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Hispanic
2016,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.0,"Multiracial, non-Hispanic"
2016,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.1,"Other, non-Hispanic"
2016,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"White, non-Hispanic"
2017,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"Black, non-Hispanic"
2017,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Hispanic
