Year,StateAbbr,State,Question,DataValueUnit,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation
2018,NV,Nevada,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,21.6,17.2,26.8,Overall,Overall,POINT (-117.07184056399967 39.493240390000494)
2020,NV,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,2.4,5.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-117.07184056399967 39.493240390000494)
2018,NV,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.0,4.4,5.6,Gender,Female,POINT (-117.07184056399967 39.493240390000494)
2019,NV,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.7,4.2,5.2,Overall,Overall,POINT (-117.07184056399967 39.493240390000494)
2017,NV,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.2,3.9,Overall,Overall,POINT (-117.07184056399967 39.493240390000494)
2016,NV,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.5,4.1,4.9,Overall,Overall,POINT (-117.07184056399967 39.493240390000494)
2011,NV,Nevada,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,16.1,12.7,20.3,Overall,Overall,POINT (-117.07184056399967 39.493240390000494)
2019,NY,New York,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,16.2,14.1,18.6,Overall,Overall,POINT (-75.54397042699964 42.82700103200045)
2016,NV,Nevada,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.6,2.9,4.3,Race/Ethnicity,Hispanic,POINT (-117.07184056399967 39.493240390000494)
2012,NY,New York,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.4,4.3,6.4,Race/Ethnicity,Hispanic,POINT (-75.54397042699964 42.82700103200045)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.4,2.9,6.0,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2013,NY,New York,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.2,3.9,8.4,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-75.54397042699964 42.82700103200045)
2020,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.7,4.4,9.0,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-100.11842104899966 47.47531977900047)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,2.9,5.4,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NY,New York,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,3.3,4.3,Race/Ethnicity,Hispanic,POINT (-75.54397042699964 42.82700103200045)
2016,NY,New York,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,2.7,4.8,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-75.54397042699964 42.82700103200045)
2015,OK,Oklahoma,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,2.9,3.9,Gender,Male,POINT (-97.52107021399968 35.47203135600046)
2019,OH,Ohio,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.3,2.3,6.2,Race/Ethnicity,"Other, non-Hispanic",POINT (-82.40426005599966 40.06021014100048)
2017,OH,Ohio,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.3,4.1,4.6,Race/Ethnicity,"White, non-Hispanic",POINT (-82.40426005599966 40.06021014100048)
2019,OH,Ohio,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.0,4.7,5.2,Race/Ethnicity,"White, non-Hispanic",POINT (-82.40426005599966 40.06021014100048)
2018,OK,Oklahoma,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,2.1,4.1,Race/Ethnicity,Hispanic,POINT (-97.52107021399968 35.47203135600046)
2013,OH,Ohio,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.2,3.2,7.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-82.40426005599966 40.06021014100048)
2017,OH,Ohio,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.8,4.0,7.5,Race/Ethnicity,Hispanic,POINT (-82.40426005599966 40.06021014100048)
2018,OH,Ohio,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,7.8,5.4,10.3,Race/Ethnicity,Hispanic,POINT (-82.40426005599966 40.06021014100048)
2017,OK,Oklahoma,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.6,3.5,5.7,Race/Ethnicity,Hispanic,POINT (-97.52107021399968 35.47203135600046)
2012,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,9.5,6.0,14.9,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.9,6.7,20.3,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,2.6,4.0,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2021,OR,Oregon,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.4,5.1,5.7,Overall,Overall,POINT (-120.15503132599969 44.56744942400047)
2017,OR,Oregon,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.5,5.0,5.9,Gender,Female,POINT (-120.15503132599969 44.56744942400047)
2013,OR,Oregon,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,2.5,4.8,Race/Ethnicity,Hispanic,POINT (-120.15503132599969 44.56744942400047)
2014,OR,Oregon,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,3.6,4.2,Race/Ethnicity,"White, non-Hispanic",POINT (-120.15503132599969 44.56744942400047)
2011,PA,Pennsylvania,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,3.9,4.4,Overall,Overall,POINT (-77.86070029399963 40.79373015200048)
2013,PA,Pennsylvania,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,3.8,4.3,Overall,Overall,POINT (-77.86070029399963 40.79373015200048)
2011,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.3,8.6,17.3,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2012,PA,Pennsylvania,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.2,2.9,3.4,Gender,Male,POINT (-77.86070029399963 40.79373015200048)
2012,PA,Pennsylvania,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,16.7,14.8,18.8,Overall,Overall,POINT (-77.86070029399963 40.79373015200048)
2018,PA,Pennsylvania,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.1,3.8,Gender,Male,POINT (-77.86070029399963 40.79373015200048)
2011,PA,Pennsylvania,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,3.9,4.3,Overall,Overall,POINT (-77.86070029399963 40.79373015200048)
2014,PA,Pennsylvania,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.4,3.7,5.2,Race/Ethnicity,"Black, non-Hispanic",POINT (-77.86070029399963 40.79373015200048)
2020,PA,Pennsylvania,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.8,5.3,6.3,Gender,Female,POINT (-77.86070029399963 40.79373015200048)
2011,WA,Washington,Postpartum depressive symptoms,%,Crude Prevalence,12.0,9.8,14.6,Overall,Overall,POINT (-120.47001078999972 47.52227862900048)
2011,GA,Georgia,Postpartum depressive symptoms,%,Crude Prevalence,8.2,6.2,10.7,Overall,Overall,POINT (-83.62758034599966 32.83968109300048)
2011,MI,Michigan,Postpartum depressive symptoms,%,Crude Prevalence,9.4,7.8,11.3,Overall,Overall,POINT (-84.71439026999968 44.6613195430005)
2011,OR,Oregon,Postpartum depressive symptoms,%,Crude Prevalence,12.6,10.4,15.2,Overall,Overall,POINT (-120.15503132599969 44.56744942400047)
2011,AR,Arkansas,Postpartum depressive symptoms,%,Crude Prevalence,18.0,14.8,21.6,Overall,Overall,POINT (-92.27449074299966 34.74865012400045)
