YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2018,2018,NV,Nevada,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,21.6,21.6,,17.2,26.8,Overall,Overall,POINT (-117.07184056399967 39.493240390000494),32,MTH,MTH2_0,CRDPREV,OVERALL,OVR
2020,2020,NV,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,4.1,,2.4,5.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-117.07184056399967 39.493240390000494),32,MTH,MTH1_0,MEAN,RACE,BLK
2018,2018,NV,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5,5,,4.4,5.6,Gender,Female,POINT (-117.07184056399967 39.493240390000494),32,MTH,MTH1_0,MEAN,GENDER,GENF
2019,2019,NV,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.7,4.7,,4.2,5.2,Overall,Overall,POINT (-117.07184056399967 39.493240390000494),32,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2017,2017,NV,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.5,,3.2,3.9,Overall,Overall,POINT (-117.07184056399967 39.493240390000494),32,MTH,MTH1_0,MEAN,OVERALL,OVR
2016,2016,NV,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.5,4.5,,4.1,4.9,Overall,Overall,POINT (-117.07184056399967 39.493240390000494),32,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2011,2011,NV,Nevada,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,16.1,16.1,,12.7,20.3,Overall,Overall,POINT (-117.07184056399967 39.493240390000494),32,MTH,MTH2_0,CRDPREV,OVERALL,OVR
2019,2019,NY,New York,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,16.2,16.2,,14.1,18.6,Overall,Overall,POINT (-75.54397042699964 42.82700103200045),36,MTH,MTH2_0,CRDPREV,OVERALL,OVR
2016,2016,NV,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.6,3.6,,2.9,4.3,Race/Ethnicity,Hispanic,POINT (-117.07184056399967 39.493240390000494),32,MTH,MTH1_0,AGEADJMEAN,RACE,HIS
2012,2012,NY,New York,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.4,5.4,,4.3,6.4,Race/Ethnicity,Hispanic,POINT (-75.54397042699964 42.82700103200045),36,MTH,MTH1_0,AGEADJMEAN,RACE,HIS
2016,2016,NE,Nebraska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.4,4.4,,2.9,6,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005),31,MTH,MTH1_0,AGEADJMEAN,RACE,BLK
2013,2013,NY,New York,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.2,6.2,,3.9,8.4,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-75.54397042699964 42.82700103200045),36,MTH,MTH1_0,MEAN,RACE,MRC
2020,2020,ND,North Dakota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.7,6.7,,4.4,9,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-100.11842104899966 47.47531977900047),38,MTH,MTH1_0,AGEADJMEAN,RACE,MRC
2019,2019,NE,Nebraska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,4.2,,2.9,5.4,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005),31,MTH,MTH1_0,MEAN,RACE,OTH
2019,2019,NY,New York,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,3.8,,3.3,4.3,Race/Ethnicity,Hispanic,POINT (-75.54397042699964 42.82700103200045),36,MTH,MTH1_0,MEAN,RACE,HIS
2016,2016,NY,New York,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,3.8,,2.7,4.8,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-75.54397042699964 42.82700103200045),36,MTH,MTH1_0,MEAN,RACE,MRC
2015,2015,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,3.4,,2.9,3.9,Gender,Male,POINT (-97.52107021399968 35.47203135600046),40,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM
2019,2019,OH,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.3,4.3,,2.3,6.2,Race/Ethnicity,"Other, non-Hispanic",POINT (-82.40426005599966 40.06021014100048),39,MTH,MTH1_0,MEAN,RACE,OTH
2017,2017,OH,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.3,4.3,,4.1,4.6,Race/Ethnicity,"White, non-Hispanic",POINT (-82.40426005599966 40.06021014100048),39,MTH,MTH1_0,MEAN,RACE,WHT
2019,2019,OH,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5,5,,4.7,5.2,Race/Ethnicity,"White, non-Hispanic",POINT (-82.40426005599966 40.06021014100048),39,MTH,MTH1_0,MEAN,RACE,WHT
2018,2018,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,3.1,,2.1,4.1,Race/Ethnicity,Hispanic,POINT (-97.52107021399968 35.47203135600046),40,MTH,MTH1_0,AGEADJMEAN,RACE,HIS
2013,2013,OH,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.2,5.2,,3.2,7.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-82.40426005599966 40.06021014100048),39,MTH,MTH1_0,MEAN,RACE,MRC
2017,2017,OH,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.8,5.8,,4,7.5,Race/Ethnicity,Hispanic,POINT (-82.40426005599966 40.06021014100048),39,MTH,MTH1_0,AGEADJMEAN,RACE,HIS
2012,2012,OH,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,,,No data available,,,Race/Ethnicity,"Other, non-Hispanic",POINT (-82.40426005599966 40.06021014100048),39,MTH,MTH1_0,MEAN,RACE,OTH
2018,2018,OH,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,7.8,7.8,,5.4,10.3,Race/Ethnicity,Hispanic,POINT (-82.40426005599966 40.06021014100048),39,MTH,MTH1_0,MEAN,RACE,HIS
2017,2017,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.6,4.6,,3.5,5.7,Race/Ethnicity,Hispanic,POINT (-97.52107021399968 35.47203135600046),40,MTH,MTH1_0,AGEADJMEAN,RACE,HIS
2012,2012,NE,Nebraska,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,9.5,9.5,,6,14.9,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005),31,MTH,MTH2_0,CRDPREV,RACE,HIS
2012,2012,OH,Ohio,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,,,No data available,,,Race/Ethnicity,Hispanic,POINT (-82.40426005599966 40.06021014100048),39,MTH,MTH1_0,MEAN,RACE,HIS
